,playerID,nameFirst,nameLast,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,Years_Played,Af,Ef,DPf,HoF,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,G_p_percent,G_c_percent,G_1b_percent,G_2b_percent,G_3b_percent,G_ss_percent,G_lf_percent,G_cf_percent,G_rf_percent,G_of_percent,G_dh_percent,pre1920_percent,1920-41_percent,1942-45_percent,1946-62_percent,1963-76_percent,1977-92_percent,1993-2009_percent,post2009_percent,throws_R,bats_R,debutYear,finalYear,AVE,OBP,Slug_Percent,OPS
9478,kinslia01,Ian,Kinsler,2006-04-03,2019-07-24,1801,7165,1215,1943,404,41,248,887.0,241.0,674,992.0,89.0,32.0,58.0,13,5064.0,163.0,1255.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1801,0,0,0,1756,1,0,0,0,0,0,40.0,0,0,0,0,0,0,515,1286,0.0,0.0,0.0,0.9750138811771238,0.000555247084952804,0.0,0.0,0.0,0.0,0.0,0.02220988339811216,0.0,0.0,0.0,0.0,0.0,0.0,0.2859522487506941,0.714047751249306,1,1,2006.0,2019.0,0.27117934403349614,0.3374906460463956,0.44284717376133986,0.7803378198077355
9482,kinziwa01,Walt,Kinzie,1882-07-17,1884-09-09,34,144,9,19,3,1,2,0.0,0.0,0,0.0,0.0,0.0,0.0,2,93.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,2,2,30,0,0,0,0,0.0,34,0,0,0,0,0,0,0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1882.0,1884.0,0.13194444444444445,0.13194444444444445,0.20833333333333334,0.3402777777777778
9484,kipnija01,Jason,Kipnis,2011-07-22,2019-07-24,1000,3832,542,1008,229,22,106,464.0,128.0,409,822.0,36.0,21.0,40.0,8,2494.0,65.0,512.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1000,0,0,0,933,0,0,0,25,0,25,33.0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,0.933,0.0,0.0,0.0,0.025,0.0,0.025,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,2011.0,2019.0,0.2630480167014614,0.3349469801751959,0.41727557411273486,0.7522225542879308
9486,kippeed01,Ed,Kippert,1914-04-14,1914-04-19,2,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,1,1,0,2,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1914.0,1914.0,0.0,0.0,0.0,0.0
9490,kirbyji01,Jim,Kirby,1949-05-01,1949-05-13,3,2,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1949.0,1949.0,0.5,0.5,0.5,1.0
9492,kirbyla01,LaRue,Kirby,1912-08-07,1915-09-14,116,378,37,87,14,5,2,34.0,8.0,31,61.0,2.0,12.0,0.0,3,18.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,4,0,0,0,0,0,9,89,5,102,0.0,116,0,0,0,0,0,0,0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.07758620689655173,0.7672413793103449,0.04310344827586207,0.8793103448275862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1912.0,1915.0,0.23015873015873015,0.28368794326241137,0.30952380952380953,0.5932117527862208
9493,kirbywa01,Wayne,Kirby,1991-09-12,1998-07-17,516,1198,183,302,51,9,14,119.0,44.0,98,168.0,6.0,13.0,10.0,8,28.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,0,0,0,0,0,0,39,129,245,398,21.0,0,0,0,0,0,42,474,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0755813953488372,0.25,0.4748062015503876,0.7713178294573644,0.040697674418604654,0.0,0.0,0.0,0.0,0.0,0.08139534883720931,0.9186046511627907,0.0,1,0,1991.0,1998.0,0.25208681135225375,0.30641509433962266,0.34474123539232054,0.6511563297319432
9496,kirkeja01,Jay,Kirke,1910-09-28,1918-09-02,320,1148,122,346,49,13,7,148.0,21.0,35,119.0,10.0,33.0,0.0,7,157.0,53.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,0,0,125,8,15,5,103,3,37,142,0.0,320,0,0,0,0,0,0,0,0.0,0.0,0.390625,0.025,0.046875,0.015625,0.321875,0.009375,0.115625,0.44375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1910.0,1918.0,0.30139372822299654,0.3189233278955954,0.38501742160278746,0.7039407494983829
9497,kirklwi01,Willie,Kirkland,1958-04-15,1966-09-26,1149,3494,443,837,134,29,148,509.0,52.0,323,648.0,15.0,16.0,34.0,9,83.0,48.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149,0,0,0,0,0,0,125,88,820,995,0.0,0,0,0,677,472,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10879025239338555,0.07658833768494343,0.7136640557006092,0.865970409051349,0.0,0.0,0.0,0.0,0.5892080069625761,0.41079199303742386,0.0,0.0,0.0,1,0,1958.0,1966.0,0.23955352032054952,0.30267903142709945,0.42157985117344016,0.7242588826005396
9500,kirkpen01,Enos,Kirkpatrick,1912-08-24,1915-09-16,203,528,70,125,20,6,3,46.0,32.0,54,78.0,6.0,16.0,0.0,4,299.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,0,0,14,27,97,28,2,0,1,3,0.0,202,0,0,0,0,0,0,0,0.0,0.0,0.06930693069306931,0.13366336633663367,0.4801980198019802,0.13861386138613863,0.009900990099009901,0.0,0.0049504950495049506,0.01485148514851485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1912.0,1915.0,0.23674242424242425,0.30629139072847683,0.3143939393939394,0.6206853301224162
