,playerID,nameFirst,nameLast,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,Years_Played,Af,Ef,DPf,HoF,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,G_p_percent,G_c_percent,G_1b_percent,G_2b_percent,G_3b_percent,G_ss_percent,G_lf_percent,G_cf_percent,G_rf_percent,G_of_percent,G_dh_percent,pre1920_percent,1920-41_percent,1942-45_percent,1946-62_percent,1963-76_percent,1977-92_percent,1993-2009_percent,post2009_percent,throws_R,bats_R,debutYear,finalYear,AVE,OBP,Slug_Percent,OPS
1,aaronha01,Hank,Aaron,1954-04-13,1976-10-03,3298,12364,2174,3771,624,98,755,2297.0,240.0,1402,1383.0,32.0,21.0,121.0,23,429.0,144.0,218.0,1.0,1.0,25.0,3.0,0.0,0.0,0.0,3298,0,0,210,43,7,0,315,308,2174,2760,201.0,0,0,0,1350,1948,0,0,0,0.0,0.0,0.06367495451788963,0.013038204972710734,0.002122498483929654,0.0,0.09551243177683444,0.09338993329290479,0.6591873862947241,0.8368708308065494,0.06094602789569436,0.0,0.0,0.0,0.40933899332929047,0.5906610066707095,0.0,0.0,0.0,1,1,1954.0,1976.0,0.30499838240051763,0.3733859397417504,0.5545131025558072,0.9278990422975576
2,aaronto01,Tommie,Aaron,1962-04-10,1971-09-26,437,944,102,216,42,6,13,94.0,9.0,86,145.0,0.0,9.0,6.0,7,113.0,22.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437,0,0,232,7,10,0,135,1,2,137,0.0,0,0,0,141,296,0,0,0,0.0,0.0,0.5308924485125858,0.016018306636155607,0.02288329519450801,0.0,0.30892448512585813,0.002288329519450801,0.004576659038901602,0.3135011441647597,0.0,0.0,0.0,0.0,0.32265446224256294,0.6773455377574371,0.0,0.0,0.0,1,1,1962.0,1971.0,0.2288135593220339,0.2889952153110048,0.3273305084745763,0.616325723785581
4,abadan01,Andy,Abad,2001-09-10,2006-04-13,15,21,1,2,0,0,0,0.0,0.0,4,5.0,0.0,0.0,0.0,3,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,8,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,15,0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2001.0,2006.0,0.09523809523809523,0.24,0.09523809523809523,0.3352380952380952
6,abadijo01,John,Abadie,1875-04-26,1875-06-10,12,49,4,11,0,0,0,5.0,1.0,0,3.0,0.0,0.0,0.0,1,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,12,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1875.0,1875.0,0.22448979591836735,0.22448979591836735,0.22448979591836735,0.4489795918367347
7,abbated01,Ed,Abbaticchio,1897-09-04,1910-09-15,855,3044,355,772,99,43,11,324.0,142.0,289,283.0,33.0,93.0,0.0,9,2368.0,315.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857,0,0,0,419,20,388,0,2,1,3,0.0,857,0,0,0,0,0,0,0,0.0,0.0,0.0,0.48891481913652274,0.023337222870478413,0.45274212368728123,0.0,0.002333722287047841,0.0011668611435239206,0.003500583430571762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1897.0,1910.0,0.2536136662286465,0.3162763804567794,0.3252299605781866,0.641506341034966
9,abbeych01,Charlie,Abbey,1893-08-16,1897-08-19,452,1756,307,493,67,46,19,280.0,93.0,167,122.0,23.0,0.0,0.0,5,92.0,100.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452,1,0,0,0,0,0,92,185,173,451,0.0,452,0,0,0,0,0,0,0,0.0022123893805309734,0.0,0.0,0.0,0.0,0.0,0.20353982300884957,0.4092920353982301,0.3827433628318584,0.9977876106194691,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1893.0,1897.0,0.28075170842824604,0.3509763617677287,0.4037585421412301,0.7547349039089588
13,abbotje01,Jeff,Abbott,1997-06-10,2001-09-29,233,596,82,157,33,2,18,83.0,6.0,38,91.0,3.0,5.0,7.0,5,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,0,0,0,0,0,0,63,81,55,185,12.0,0,0,0,0,0,0,233,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703862660944206,0.34763948497854075,0.23605150214592274,0.7939914163090128,0.05150214592274678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1997.0,2001.0,0.2634228187919463,0.3050847457627119,0.4161073825503356,0.7211921283130475
15,abbotku01,Kurt,Abbott,1993-09-07,2001-04-13,702,2044,273,523,109,23,62,242.0,22.0,133,571.0,17.0,21.0,12.0,9,1262.0,79.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702,0,0,8,173,43,349,32,4,8,43,6.0,0,0,0,0,0,0,702,0,0.0,0.0,0.011396011396011397,0.24643874643874644,0.06125356125356125,0.49715099715099714,0.045584045584045586,0.005698005698005698,0.011396011396011397,0.06125356125356125,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1993.0,2001.0,0.25587084148727984,0.3022002694207454,0.4227005870841487,0.7249008565048941
17,abbotod01,Ody,Abbott,1910-09-10,1910-10-15,22,70,2,13,2,1,0,6.0,3.0,6,20.0,0.0,6.0,0.0,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,0,0,0,21,0,21,0.0,22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.9545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1910.0,1910.0,0.18571428571428572,0.23170731707317074,0.24285714285714285,0.4745644599303136
20,abercda01,Frank,Abercrombie,1871-10-21,1871-10-21,1,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1871.0,1871.0,0.0,0.0,0.0,0.0
21,abercre01,Reggie,Abercrombie,2006-04-04,2008-09-28,180,386,65,86,20,2,9,34.0,18.0,21,123.0,7.0,5.0,2.0,3,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0,0,0,0,0,0,18,115,15,134,0.0,0,0,0,0,0,0,180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6388888888888888,0.08333333333333333,0.7444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006.0,2008.0,0.22279792746113988,0.27078384798099764,0.3549222797927461,0.6257061277737437
23,abernbr01,Brent,Abernathy,2001-06-25,2005-09-29,232,868,97,212,36,5,8,79.0,21.0,60,93.0,7.0,16.0,4.0,4,590.0,22.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,0,0,0,223,0,0,5,0,0,5,3.0,0,0,0,0,0,0,232,0,0.0,0.0,0.0,0.9612068965517241,0.0,0.0,0.021551724137931036,0.0,0.0,0.021551724137931036,0.01293103448275862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2001.0,2005.0,0.24423963133640553,0.29214659685863875,0.3248847926267281,0.6170313894853668
27,aberscl01,Cliff,Aberson,1947-07-18,1949-05-09,63,179,25,45,7,3,5,26.0,0.0,25,44.0,0.0,0.0,0.0,3,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0,0,0,0,0,0,47,0,1,48,0.0,0,0,0,63,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.746031746031746,0.0,0.015873015873015872,0.7619047619047619,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1947.0,1949.0,0.25139664804469275,0.3431372549019608,0.40782122905027934,0.7509584839522401
29,abnersh01,Shawn,Abner,1987-09-08,1992-10-03,392,840,89,191,39,4,11,71.0,6.0,43,153.0,7.0,5.0,7.0,6,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392,0,0,0,0,0,0,73,153,120,333,4.0,0,0,0,0,0,392,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18622448979591838,0.3903061224489796,0.30612244897959184,0.8494897959183674,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1987.0,1992.0,0.22738095238095238,0.26718403547671843,0.32261904761904764,0.5898030830957661
30,abramca01,Cal,Abrams,1949-04-19,1956-05-09,567,1611,257,433,64,19,32,138.0,12.0,304,290.0,7.0,16.0,0.0,8,33.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,0,0,3,0,0,0,95,100,271,440,0.0,0,0,0,567,0,0,0,0,0.0,0.0,0.005291005291005291,0.0,0.0,0.0,0.1675485008818342,0.1763668430335097,0.47795414462081126,0.7760141093474426,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1949.0,1956.0,0.26877715704531346,0.38390092879256965,0.39168218497827434,0.775583113770844
33,abreubo01,Bobby,Abreu,1996-09-01,2014-09-28,2425,8480,1453,2470,574,59,288,1363.0,400.0,1476,1840.0,33.0,7.0,85.0,18,136.0,73.0,24.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2425,0,0,0,0,0,0,142,21,1990,2138,161.0,0,0,0,0,0,0,1951,474,0.0,0.0,0.0,0.0,0.0,0.0,0.05855670103092783,0.00865979381443299,0.8206185567010309,0.8816494845360825,0.0663917525773196,0.0,0.0,0.0,0.0,0.0,0.0,0.8045360824742268,0.1954639175257732,1,0,1996.0,2014.0,0.29127358490566035,0.3947029064576927,0.47476415094339625,0.869467057401089
34,abreujo01,Joe,Abreu,1942-04-23,1942-07-11,9,28,4,6,1,0,1,3.0,0.0,4,4.0,0.0,0.0,0.0,1,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,2,6,0,0,0,0,0,0.0,0,0,9,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1942.0,1942.0,0.21428571428571427,0.3125,0.35714285714285715,0.6696428571428572
35,abreujo02,Jose,Abreu,2014-03-31,2019-07-24,742,2913,398,858,180,13,146,488.0,8.0,209,624.0,67.0,0.0,24.0,5,364.0,43.0,547.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,742,0,0,629,0,0,0,0,0,0,0,112.0,0,0,0,0,0,0,0,742,0.0,0.0,0.8477088948787062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014.0,2019.0,0.2945417095777549,0.35294117647058826,0.5156196361139719,0.8685608125845601
37,abreuto01,Tony,Abreu,2007-05-22,2014-07-28,224,579,61,147,39,6,6,60.0,2.0,22,116.0,5.0,1.0,8.0,6,327.0,19.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,0,0,0,80,59,29,0,0,0,0,3.0,0,0,0,0,0,0,65,159,0.0,0.0,0.0,0.35714285714285715,0.26339285714285715,0.12946428571428573,0.0,0.0,0.0,0.0,0.013392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.29017857142857145,0.7098214285714286,1,0,2007.0,2014.0,0.2538860103626943,0.28292682926829266,0.37305699481865284,0.6559838240869456
39,abstebi01,Bill,Abstein,1906-09-25,1910-06-02,170,619,54,150,22,10,1,76.0,21.0,29,75.0,4.0,29.0,0.0,3,93.0,41.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,0,0,158,3,0,0,0,0,2,2,0.0,170,0,0,0,0,0,0,0,0.0,0.0,0.9294117647058824,0.01764705882352941,0.0,0.0,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1906.0,1910.0,0.24232633279483037,0.2687224669603524,0.3150242326332795,0.5837466995936319
47,ackledu01,Dustin,Ackley,2011-06-17,2016-05-29,635,2125,261,512,94,18,46,216.0,31.0,194,419.0,5.0,11.0,12.0,6,805.0,18.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635,0,0,35,292,0,0,211,71,11,283,22.0,0,0,0,0,0,0,0,635,0.0,0.0,0.05511811023622047,0.45984251968503936,0.0,0.0,0.33228346456692914,0.11181102362204724,0.01732283464566929,0.4456692913385827,0.03464566929133858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,2011.0,2016.0,0.24094117647058824,0.30293992330634856,0.36705882352941177,0.6699987468357603
53,acostme01,Merito,Acosta,1913-06-05,1918-09-02,180,436,56,111,9,7,0,37.0,17.0,63,46.0,4.0,19.0,0.0,5,18.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181,0,0,0,0,0,0,54,29,56,136,0.0,181,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2983425414364641,0.16022099447513813,0.30939226519337015,0.7513812154696132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1913.0,1918.0,0.2545871559633027,0.34099616858237547,0.3073394495412844,0.6483356181236599
56,acunaro01,Ronald,Acuna,2018-04-25,2019-07-24,111,433,78,127,26,4,26,64.0,16.0,45,123.0,6.0,0.0,3.0,1,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0,0,0,0,0,0,101,13,3,108,1.0,0,0,0,0,0,0,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.9099099099099099,0.11711711711711711,0.02702702702702703,0.972972972972973,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2018.0,2019.0,0.29330254041570436,0.3655030800821355,0.5519630484988453,0.9174661285809808
58,adairje01,Jerry,Adair,1958-09-02,1970-05-03,1165,4019,378,1022,163,19,57,366.0,29.0,208,499.0,17.0,41.0,30.0,13,2878.0,103.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165,0,0,1,811,45,310,0,0,0,0,0.0,0,0,0,298,867,0,0,0,0.0,0.0,0.0008583690987124463,0.696137339055794,0.03862660944206009,0.26609442060085836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255793991416309,0.744206008583691,0.0,0.0,0.0,1,1,1958.0,1970.0,0.25429211246578753,0.28899188876013904,0.3468524508584225,0.6358443396185616
59,adairji01,Jimmy,Adair,1931-08-24,1931-09-07,18,76,9,21,3,1,0,3.0,1.0,1,8.0,0.0,2.0,0.0,1,55.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,18,0,0,0,0,0.0,0,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1931.0,1931.0,0.27631578947368424,0.27848101265822783,0.34210526315789475,0.6205862758161226
60,adamecr01,Cristhian,Adames,2014-07-29,2017-04-28,166,306,31,63,8,4,2,20.0,2.0,28,69.0,5.0,4.0,0.0,4,192.0,8.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,0,0,1,16,11,66,0,0,0,0,0.0,0,0,0,0,0,0,0,166,0.0,0.0,0.006024096385542169,0.0963855421686747,0.06626506024096386,0.39759036144578314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,2014.0,2017.0,0.20588235294117646,0.27988338192419826,0.2777777777777778,0.557661159701976
61,adamewi01,Willy,Adames,2018-05-22,2019-07-24,85,288,43,80,7,0,10,34.0,6.0,31,95.0,1.0,1.0,2.0,1,192.0,14.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0,0,0,10,0,75,0,0,0,0,0.0,0,0,0,0,0,0,0,85,0.0,0.0,0.0,0.11764705882352941,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2018.0,2019.0,0.2777777777777778,0.34674922600619196,0.40625,0.752999226006192
70,adamsbo03,Bobby,Adams,1946-04-16,1959-04-22,1281,4019,591,1082,188,49,37,303.0,67.0,414,447.0,17.0,78.0,0.0,14,2262.0,158.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281,0,0,12,401,651,0,0,0,4,4,0.0,0,0,0,1281,0,0,0,0,0.0,0.0,0.00936768149882904,0.31303669008587043,0.5081967213114754,0.0,0.0,0.0,0.00312256049960968,0.00312256049960968,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1946.0,1959.0,0.2692211993033093,0.33414310954063603,0.3680019905449117,0.7021451000855476
71,adamsbo04,Bob,Adams,1977-07-10,1977-09-29,15,24,2,6,1,0,2,2.0,0.0,0,5.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1977.0,1977.0,0.25,0.25,0.5416666666666666,0.7916666666666666
72,adamsbu01,Buster,Adams,1939-04-27,1947-09-21,576,2003,282,532,96,12,50,249.0,12.0,234,281.0,13.0,42.0,0.0,6,35.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0,0,0,0,0,0,59,422,45,525,0.0,0,2,424,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10243055555555555,0.7326388888888888,0.078125,0.9114583333333334,0.0,0.0,0.003472222222222222,0.7361111111111112,0.2604166666666667,0.0,0.0,0.0,0.0,1,1,1939.0,1947.0,0.2656015976035946,0.33987783595113435,0.400399400898652,0.7402772368497863
75,adamsda02,David,Adams,2013-05-15,2013-09-29,43,140,10,27,5,1,2,13.0,0.0,9,43.0,2.0,1.0,0.0,1,76.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,0,4,9,31,0,0,0,0,0,0.0,0,0,0,0,0,0,0,43,0.0,0.0,0.09302325581395349,0.20930232558139536,0.7209302325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013.0,2013.0,0.19285714285714287,0.25,0.2857142857142857,0.5357142857142857
76,adamsdi01,Dick,Adams,1947-05-20,1947-09-28,37,89,9,18,2,3,2,11.0,0.0,2,18.0,0.0,2.0,0.0,1,17.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,24,0,0,0,1,0,2,3,0.0,0,0,0,37,0,0,0,0,0.0,0.0,0.6486486486486487,0.0,0.0,0.0,0.02702702702702703,0.0,0.05405405405405406,0.08108108108108109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1947.0,1947.0,0.20224719101123595,0.21505376344086022,0.3595505617977528,0.574604325238613
78,adamsge01,George,Adams,1879-06-14,1879-06-21,4,13,0,3,0,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,2,0,0,0,0,2,0,2,0.0,4,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1879.0,1879.0,0.23076923076923078,0.2857142857142857,0.23076923076923078,0.5164835164835164
79,adamsgl01,Glenn,Adams,1975-05-04,1982-10-03,661,1617,152,452,79,5,34,225.0,6.0,111,183.0,4.0,9.0,19.0,8,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661,0,0,0,0,0,0,97,0,49,146,374.0,0,0,0,0,130,531,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14674735249621784,0.0,0.07413010590015129,0.22087745839636913,0.5658093797276853,0.0,0.0,0.0,0.0,0.19667170953101362,0.8033282904689864,0.0,0.0,1,0,1975.0,1982.0,0.2795299938157081,0.3221590909090909,0.3976499690785405,0.7198090599876314
80,adamshe01,Herb,Adams,1948-09-17,1950-08-30,95,337,39,88,8,6,0,18.0,4.0,22,24.0,2.0,3.0,0.0,3,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,0,0,0,0,0,14,68,3,85,0.0,0,0,0,95,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14736842105263157,0.7157894736842105,0.031578947368421054,0.8947368421052632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1948.0,1950.0,0.26112759643916916,0.3076923076923077,0.32047477744807124,0.6281670851403789
85,adamsla01,Lane,Adams,2014-09-01,2018-09-30,117,137,30,36,5,1,7,26.0,11.0,14,47.0,1.0,1.0,1.0,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0,0,0,31,15,12,51,2.0,0,0,0,0,0,0,0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.26495726495726496,0.1282051282051282,0.10256410256410256,0.4358974358974359,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014.0,2018.0,0.26277372262773724,0.33116883116883117,0.46715328467153283,0.7983221158403639
86,adamsma01,Matt,Adams,2012-05-20,2019-07-24,707,2026,248,539,113,6,96,332.0,4.0,139,501.0,10.0,0.0,15.0,7,310.0,34.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707,0,0,488,0,0,0,34,0,1,35,5.0,0,0,0,0,0,0,0,707,0.0,0.0,0.6902404526166902,0.0,0.0,0.0,0.04809052333804809,0.0,0.0014144271570014145,0.04950495049504951,0.007072135785007072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,2012.0,2019.0,0.2660414610069102,0.3141552511415525,0.4698914116485686,0.7840466627901211
88,adamsmi02,Mike,Adams,1972-09-10,1978-07-25,100,118,27,23,5,0,3,9.0,2.0,32,29.0,2.0,0.0,0.0,5,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0,7,6,0,27,2,2,31,19.0,0,0,0,0,83,17,0,0,0.0,0.0,0.0,0.07,0.06,0.0,0.27,0.02,0.02,0.31,0.19,0.0,0.0,0.0,0.0,0.83,0.17,0.0,0.0,1,1,1972.0,1978.0,0.19491525423728814,0.375,0.3135593220338983,0.6885593220338984
92,adamsri02,Ricky,Adams,1982-09-15,1985-10-05,120,247,35,53,5,1,4,16.0,3.0,10,37.0,5.0,7.0,0.0,3,254.0,14.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0,0,0,9,33,71,0,0,0,0,0.0,0,0,0,0,0,120,0,0,0.0,0.0,0.0,0.075,0.275,0.5916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1982.0,1985.0,0.2145748987854251,0.2527881040892193,0.291497975708502,0.5442860797977214
93,adamsru01,Russ,Adams,2004-09-03,2009-06-30,286,884,125,218,46,7,17,113.0,15.0,85,118.0,5.0,8.0,11.0,5,573.0,46.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,0,0,0,52,16,189,5,0,0,5,10.0,0,0,0,0,0,0,286,0,0.0,0.0,0.0,0.18181818181818182,0.055944055944055944,0.6608391608391608,0.017482517482517484,0.0,0.0,0.017482517482517484,0.03496503496503497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,2004.0,2009.0,0.24660633484162897,0.31017119838872104,0.3721719457013575,0.6823431440900785
94,adamsry01,Ryan,Adams,2011-05-20,2011-09-19,29,89,9,25,4,0,0,7.0,0.0,6,25.0,1.0,0.0,0.0,1,62.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,0,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,29,0.0,0.0,0.0,0.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2011.0,2011.0,0.2808988764044944,0.3333333333333333,0.3258426966292135,0.6591760299625469
95,adamssp01,Sparky,Adams,1922-09-18,1934-09-30,1424,5557,844,1588,249,48,9,394.0,154.0,453,223.0,28.0,136.0,0.0,13,3748.0,230.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424,0,0,0,552,534,301,2,0,2,4,0.0,0,1424,0,0,0,0,0,0,0.0,0.0,0.0,0.38764044943820225,0.375,0.21137640449438203,0.0014044943820224719,0.0,0.0014044943820224719,0.0028089887640449437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1922.0,1934.0,0.2857657009177614,0.3351149983803045,0.3527082958430808,0.6878232942233853
96,adamssp02,Spencer,Adams,1923-04-22,1927-10-02,180,395,61,101,16,5,0,38.0,5.0,38,50.0,2.0,12.0,0.0,4,263.0,34.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181,0,0,0,86,31,14,0,0,0,0,0.0,0,181,0,0,0,0,0,0,0.0,0.0,0.0,0.47513812154696133,0.1712707182320442,0.07734806629834254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1923.0,1927.0,0.25569620253164554,0.31543624161073824,0.32151898734177214,0.6369552289525104
100,adcocjo01,Joe,Adcock,1950-04-23,1966-10-01,1959,6606,823,1832,295,35,336,1122.0,20.0,594,1059.0,17.0,52.0,0.0,17,900.0,102.0,1234.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1959,0,0,1496,0,0,0,313,0,1,313,0.0,0,0,0,1539,420,0,0,0,0.0,0.0,0.7636549259826442,0.0,0.0,0.0,0.15977539561000512,0.0,0.0005104645227156713,0.15977539561000512,0.0,0.0,0.0,0.0,0.7856049004594181,0.21439509954058192,0.0,0.0,0.0,1,1,1950.0,1966.0,0.2773236451710566,0.3360847434310084,0.48516500151377534,0.8212497449447838
102,addisbo01,Bob,Addis,1950-09-01,1953-06-12,208,534,70,150,22,2,2,47.0,8.0,37,47.0,0.0,5.0,0.0,4,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,0,0,0,0,0,0,33,54,51,135,0.0,0,0,0,208,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15865384615384615,0.25961538461538464,0.24519230769230768,0.6490384615384616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1950.0,1953.0,0.2808988764044944,0.3246527777777778,0.3408239700374532,0.665476747815231
